Algorithm,Items,BinaryArray,Iterations,Time,Value,Weight
Random Search,5,"[1, 0, 0, 1, 1]",1000,0.02451014518737793,71,26
Random Search,5,"[1, 0, 1, 1, 0]",1000,0.013712644577026367,83,23
Random Search,5,"[1, 1, 0, 1, 0]",1000,0.013742208480834961,56,31
Random Search,5,"[1, 0, 1, 1, 0]",1000,0.012506723403930664,83,23
Random Search,5,"[1, 1, 0, 1, 0]",1000,0.014514923095703125,56,31
Random Search,5,"[1, 0, 0, 1, 1]",1000,0.013901710510253906,71,26
Random Search,5,"[1, 1, 0, 1, 0]",1000,0.014527320861816406,56,31
Random Search,5,"[1, 0, 0, 1, 1]",1000,0.01385188102722168,71,26
Random Search,5,"[1, 0, 0, 1, 1]",1000,0.01443791389465332,71,26
Random Search,5,"[1, 1, 0, 1, 0]",1000,0.012508392333984375,56,31
Random Search,5,"[1, 0, 1, 1, 0]",1000,0.014229059219360352,83,23
Random Search,5,"[1, 0, 1, 1, 0]",1000,0.01269078254699707,83,23
Random Search,5,"[1, 0, 0, 1, 1]",1000,0.012517213821411133,71,26
Random Search,5,"[1, 0, 0, 1, 1]",1000,0.013714075088500977,71,26
Random Search,5,"[1, 1, 0, 1, 0]",1000,0.016054868698120117,56,31
Random Search,5,"[1, 0, 0, 1, 1]",1000,0.021523237228393555,71,26
Random Search,5,"[1, 0, 0, 1, 1]",1000,0.025475740432739258,71,26
Random Search,5,"[1, 1, 0, 1, 0]",1000,0.023415803909301758,56,31
Random Search,5,"[1, 0, 0, 1, 1]",1000,0.019548654556274414,71,26
Random Search,5,"[1, 1, 0, 1, 0]",1000,0.019726276397705078,56,31
Random Search,5,"[1, 0, 0, 1, 1]",1000,0.017648935317993164,71,26
Random Search,5,"[1, 0, 1, 1, 0]",1000,0.018192291259765625,83,23
Random Search,5,"[1, 0, 0, 1, 1]",1000,0.015778303146362305,71,26
Random Search,5,"[1, 0, 0, 1, 1]",1000,0.015526294708251953,71,26
Random Search,5,"[1, 0, 1, 1, 0]",1000,0.01928400993347168,83,23
Random Search,10,"[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",1000,0.018111705780029297,63,57
Random Search,10,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1]",1000,0.02516341209411621,84,42
Random Search,10,"[1, 0, 0, 1, 0, 0, 1, 1, 0, 1]",1000,0.028565406799316406,81,52
Random Search,10,"[1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",1000,0.02202892303466797,79,55
Random Search,10,"[0, 0, 0, 1, 0, 1, 1, 0, 1, 0]",1000,0.0274960994720459,80,59
Random Search,10,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0]",1000,0.02397441864013672,93,58
Random Search,10,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1000,0.018861055374145508,34,59
Random Search,10,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1]",1000,0.0211026668548584,84,42
Random Search,10,"[1, 0, 1, 1, 1, 0, 1, 0, 0, 0]",1000,0.024307966232299805,75,47
Random Search,10,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 1]",1000,0.01905655860900879,88,50
Random Search,10,"[1, 0, 0, 1, 1, 0, 1, 0, 1, 0]",1000,0.017037153244018555,80,57
Random Search,10,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",1000,0.02002739906311035,44,59
Random Search,10,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",1000,0.019031047821044922,63,58
Random Search,10,"[1, 0, 0, 1, 1, 0, 1, 1, 0, 0]",1000,0.018628835678100586,72,57
Random Search,10,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 1]",1000,0.019109010696411133,88,50
Random Search,10,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",1000,0.02072000503540039,50,59
Random Search,10,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0]",1000,0.02070140838623047,93,58
Random Search,10,"[1, 0, 0, 1, 0, 0, 1, 1, 0, 1]",1000,0.022058725357055664,81,52
