Algorithm,Items,Alpha,CoolingMode,BinaryArray,Iterations,Time,Value,Weight
Simulated Annealing,5,0.97,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.020572423934936523,83,23
Simulated Annealing,5,0.97,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.08835911750793457,83,23
Simulated Annealing,5,0.97,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.11677694320678711,83,23
Simulated Annealing,5,0.97,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.06699466705322266,83,23
Simulated Annealing,5,0.97,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.0740048885345459,83,23
Simulated Annealing,10,0.97,GEOMETRIC,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0]",1000,0.05698585510253906,93,58
Simulated Annealing,10,0.97,GEOMETRIC,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1]",1000,0.03916811943054199,95,48
Simulated Annealing,10,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 1, 1, 0, 0, 0]",1000,0.025374650955200195,89,50
Simulated Annealing,10,0.97,GEOMETRIC,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1]",1000,0.029210567474365234,95,48
Simulated Annealing,10,0.97,GEOMETRIC,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1]",1000,0.02512383460998535,95,48
Simulated Annealing,15,0.97,GEOMETRIC,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",1000,0.07798933982849121,111,72
Simulated Annealing,15,0.97,GEOMETRIC,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]",1000,0.05346035957336426,106,77
Simulated Annealing,15,0.97,GEOMETRIC,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1]",1000,0.03341555595397949,111,76
Simulated Annealing,15,0.97,GEOMETRIC,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1]",1000,0.023258686065673828,115,74
Simulated Annealing,15,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1]",1000,0.046076059341430664,106,71
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0]",1000,0.03228044509887695,172,143
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]",1000,0.03250265121459961,175,137
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]",1000,0.03847765922546387,187,136
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1]",1000,0.024239778518676758,187,139
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",1000,0.023281574249267578,172,139
Simulated Annealing,25,0.97,GEOMETRIC,"[0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0]",1000,0.02438044548034668,279,203
Simulated Annealing,25,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0]",1000,0.037409305572509766,277,225
Simulated Annealing,25,0.97,GEOMETRIC,"[1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]",1000,0.0397343635559082,312,231
Simulated Annealing,25,0.97,GEOMETRIC,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0]",1000,0.028261184692382812,298,222
Simulated Annealing,25,0.97,GEOMETRIC,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]",1000,0.04918169975280762,303,210
Simulated Annealing,30,0.97,GEOMETRIC,"[0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1]",1000,0.06199312210083008,345,283
Simulated Annealing,30,0.97,GEOMETRIC,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0]",1000,0.05599570274353027,360,271
Simulated Annealing,30,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1]",1000,0.035994529724121094,339,284
Simulated Annealing,30,0.97,GEOMETRIC,"[0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0]",1000,0.03200054168701172,360,285
Simulated Annealing,30,0.97,GEOMETRIC,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",1000,0.0379946231842041,357,238
Simulated Annealing,35,0.97,GEOMETRIC,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0]",1000,0.05599474906921387,321,166
Simulated Annealing,35,0.97,GEOMETRIC,"[1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1]",1000,0.05099916458129883,321,165
