Algorithm,Items,Alpha,CoolingMode,BinaryArray,Iterations,Time,Value,Weight
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0]",1000,0.019998788833618164,173,140
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",1000,0.02200174331665039,189,141
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1]",1000,0.018998384475708008,173,103
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0]",1000,0.020003080368041992,178,130
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]",1000,0.021001338958740234,179,134
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]",1000,0.019999980926513672,179,139
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]",1000,0.020000457763671875,174,136
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",1000,0.03399801254272461,173,140
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",1000,0.018997669219970703,176,139
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0]",1000,0.01900029182434082,182,132
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0]",1000,0.018999576568603516,185,121
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]",1000,0.01799941062927246,195,141
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0]",1000,0.017999887466430664,198,140
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]",1000,0.017999887466430664,175,141
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1]",1000,0.017999649047851562,198,131
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0]",1000,0.01900315284729004,174,134
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0]",1000,0.019022464752197266,173,136
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0]",1000,0.01697850227355957,185,142
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1]",1000,0.0180206298828125,185,140
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1000,0.018979310989379883,198,139
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]",1000,0.01799607276916504,184,139
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]",1000,0.02100539207458496,187,139
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0]",1000,0.01799464225769043,181,141
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]",1000,0.018024444580078125,181,127
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1000,0.01797771453857422,177,124
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1]",1000,0.018997907638549805,186,141
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0]",1000,0.018024682998657227,187,141
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0]",1000,0.01697516441345215,181,124
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1000,0.017999887466430664,166,140
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",1000,0.018024206161499023,186,134
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1000,0.01900029182434082,191,134
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0]",1000,0.01797652244567871,194,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0]",1000,0.019001483917236328,170,140
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0]",1000,0.01799750328063965,189,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]",1000,0.018000364303588867,177,133
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",1000,0.020000696182250977,180,138
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]",1000,0.019002199172973633,209,137
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]",1000,0.017996788024902344,196,129
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1000,0.018000125885009766,194,135
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1000,0.01699995994567871,189,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1000,0.018002748489379883,183,130
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1000,0.017997264862060547,209,133
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1]",1000,0.01900005340576172,184,138
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1000,0.020003080368041992,209,138
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0]",1000,0.018997669219970703,184,133
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1000,0.01799941062927246,186,141
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1]",1000,0.017999649047851562,180,142
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0]",1000,0.017000436782836914,191,139
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0]",1000,0.019005298614501953,181,135
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1]",1000,0.020996809005737305,187,139
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0]",1000,0.018999099731445312,163,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0]",1000,0.017998456954956055,172,139
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1]",1000,0.01899886131286621,183,142
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",1000,0.021001338958740234,172,142
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0]",1000,0.017999887466430664,178,138
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",1000,0.020001888275146484,159,130
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0]",1000,0.020998477935791016,193,139
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1]",1000,0.01799774169921875,186,139
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0]",1000,0.017999887466430664,182,140
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]",1000,0.01800251007080078,177,140
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]",1000,0.018999814987182617,185,124
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",1000,0.018998384475708008,194,131
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]",1000,0.019002199172973633,197,131
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",1000,0.018997669219970703,174,132
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]",1000,0.01799917221069336,210,135
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1]",1000,0.01800227165222168,184,142
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1]",1000,0.018001556396484375,177,137
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0]",1000,0.0189971923828125,181,142
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1]",1000,0.020001888275146484,184,139
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]",1000,0.017997264862060547,181,143
