Algorithm,Items,Alpha,CoolingMode,BinaryArray,Iterations,Time,Value,Weight
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]",1000,0.019348859786987305,129,140
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0]",1000,0.019294023513793945,76,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",1000,0.019176006317138672,122,140
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1]",1000,0.018187284469604492,125,142
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0]",1000,0.018351078033447266,146,141
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]",1000,0.017247676849365234,112,142
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",1000,0.01719522476196289,136,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1]",1000,0.017177581787109375,127,139
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1]",1000,0.03179335594177246,129,142
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]",1000,0.03810548782348633,130,138
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1]",1000,0.03972125053405762,131,141
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0]",1000,0.041030168533325195,136,136
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",1000,0.03944134712219238,78,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1]",1000,0.03798723220825195,94,142
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]",1000,0.03601431846618652,137,142
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1]",1000,0.042060136795043945,88,142
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",1000,0.03317666053771973,125,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]",1000,0.01735067367553711,119,139
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0]",1000,0.01928114891052246,134,143
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",1000,0.018233776092529297,99,143
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",1000,0.01725006103515625,108,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0]",1000,0.0225522518157959,139,139
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",1000,0.027896881103515625,132,140
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",1000,0.018352270126342773,110,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1000,0.017253398895263672,94,141
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1]",1000,0.017333507537841797,154,141
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1]",1000,0.018277406692504883,163,140
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]",1000,0.01734018325805664,137,141
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1]",1000,0.01829218864440918,116,134
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0]",1000,0.018263578414916992,143,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0]",1000,0.023359060287475586,120,139
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]",1000,0.01837611198425293,156,142
Simulated Annealing,20,0.97,GEOMETRIC,"[0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0]",1000,0.018175601959228516,123,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1]",1000,0.01935553550720215,96,140
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]",1000,0.017193317413330078,113,143
Simulated Annealing,20,0.97,GEOMETRIC,"[1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",1000,0.0182650089263916,141,141
