Algorithm,Items,Alpha,InitialTemp,CoolingMode,BinaryArray,Iterations,Time,Value,Weight
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.0202023983001709,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.017180681228637695,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.01519918441772461,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.02127361297607422,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.01618027687072754,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.015193939208984375,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.023241758346557617,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.01918649673461914,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.01620793342590332,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.016190052032470703,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.02128744125366211,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.01318979263305664,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.020213603973388672,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.015171527862548828,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.015208005905151367,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.017184019088745117,83,23
Simulated Annealing,5,0.98,102,GEOMETRIC,"[1, 0, 1, 1, 0]",1000,0.020296335220336914,83,23
